sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
491,491,ДОИТЬ,MILK (V.),5,,v,93,Получать молоко от млекопитающего (в особенности коровы). (Concepticon),"To draw milk from (a mammal, especially a cow). (Concepticon)","1. Мама подоила корову. 2. Чтобы получить молоко, доят коров.","1. Mother milked the cow. 2. In order to get milk, people milk cows.",119,0,0,final,
492,492,СЫР,CHEESE,5,,n,1569,Твёрдый продукт из свернувшегося молока.,A firm product made of curdled milk.,1. Сыр делают из молока. 2. В сыр кладут соль.,1. Cheese is made out of milk. 2. Salt is put into cheese.,255,0,0,final,
493,493,СЫВОРОТКА,WHEY,5,,n,0,"Жидкость, которая остаётся после сворачивания и процеживания молока. Побочный продукт сыроварения.",The liquid that remains after milk curdles and is strained. A byproduct of cheese manufacture.,"Когда делают сыр, остаётся сыворотка.","When cheese is made, whey remains.",251,0,0,final,
494,494,МОЛОЗИВО,FOREMILK,5,,n,0,"Секрет молочной железы млекопитающих, вырабатываемый в последние дни беременности и в первые дни после родов. [Wiki]",The secretion of mammary glands that is produced in the first days after giving birth.,У коровы после родов бывает молозиво.,Cows give foremilk after giving birth.,252,0,0,final,
495,495,СМЕТАНА,SOUR CREAM,5,,n,0,"Кисломолочный продукт из сливок и закваски; сливки, подвергшиеся брожению.",A fermented milk product made out of cream and a fermentation starter; fermented cream.,1. Я поел хлеб со сметаной. 2. Сметану делают из сливок.,1. I ate bread with sour cream. 2. Sour cream is made out of cream.,254,0,0,final,
496,496,СЛИВОЧНОЕ МАСЛО,BUTTER,5,,n,1245,"Твёрдое, жирное вещество, производимое сбиванием молочных сливок. (Concepticon)","A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk). (Concepticon)",Масло взбивают из молока.,Butter is churned out of milk.,253,0,0,final,
497,497,ВИНО,WINE,5,,n,1524,"Алкогольный напиток, производимый в результате брожения виноградного сока.",An alcoholic beverage made by fermenting juice of grapes. (Concepticon),Вино делают из винограда.,Wine is made out of grapes.,0,0,0,final,
498,498,ХМЕЛЬНОЙ НАПИТОК,FERMENTED DRINK,5,,n,0,Традиционный зерновой алкогольный напиток (своего рода домашнее пиво).,A traditional fermented drink made of grain (a kind of home-made beer).,Из толокна делают бузу.,The FERMENTED DRINK is made out of fried flour.,262,0,0,final,
499,499,БРОДИТЬ (О ТЕСТЕ),FERMENT (OF DOUGH),5,,v,0,"Подвергаться процессу, в результате которого выделяются газы, кислоты и алкоголь. В быту, как правило, бродит либо тесто, либо алкоголь. Из-за универсальности дрожжевого теста лучше использовать глагол для него, однако, как правило, тот же глагол применяется и к алкогольным напиткам.","To undergo a process whose result is the production of gases, acids and alcohol. In common situations, fermentation occurs with dough or with alcohol. Due to the universality of yeast dough it is best to use the verb that includes to its fermentation; usually, however, the same verb is also used for alcoholic drinks.",1. От дрожжей тесто забродило. 2. Буза забродила.,1. Dough started to ferment because of yeast. 2. FERMENTED DRINK started to ferment.,52,0,0,final,
500,500,СВЕРТЫВАТЬСЯ (О МОЛОКЕ),"CURDLE (INTR, OF MILK)",5,,v,0,(О молоке) Переходить из жидкого состояния в твёрдое под действием температуры или специальных химических веществ.,(Of milk) To proceed from liquid to solid state under the effect of temperature or special chemicals.,"1. В тёплом месте молоко свернулось. 2. Чтобы молоко свернулось, в него кладут сычуг.","1. The milk curdled in a warm place. 2. For the milk to curdle, we put maw into it.",53,0,0,final,
501,501,ЯЙЦО,EGG,5,,n,744,"Яйцо (оплодотворённое или нет) домашних птиц, чаще всего кур, рассматриваемое в качестве еды. (CoBL) ‘Снести яйцо’ может быть синкретически выражено отдельным глаголом, что не подходит как элемент списка. (GLD)","Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food. (CoBL) Note that the notion ‘to lay eggs’ can frequently be expressed syncretically by a separate verb; this should be rejected. (GLD)","1. Птицы несут яйца, а звери нет  2. Он взял в руку яйцо.  3. Ты ешь яйца?","1. Birds lay eggs, animals do not.  2. He had an egg in his hand.  3. Do you eat eggs?",260,39,23,final,
502,502,ЖЕЛТОК,EGG YOLK,5,,n,1556,"Жёлтая, сферичекая часть яйца, окружённая белком, служащая питанием для растущего птенца. (Concepticon)","The yellow, spherical part of an egg that is surrounded by the white albumen, and serves as nutriment for the growing young. (Concepticon)",1. Дай детям желток. 2. Яйцо состоит из желтка и белка.,1. Give the yolk to the children 2. The egg consists of the white and the yolk.,0,0,0,final,
503,503,НАДЕВАТЬ ПЛАТЬЕ,PUT ON (DRESS),6,,v,158,"Надевать одежду, закрывающую верхнюю часть тела (рубашку, платье).","To put on clothing that covers the upper part of the body (shirt, dress).",1. Я надел рубашку. 2. Она надела платье.,1. I put on the shirt. 2. She put on the dress.,143,0,0,final,
504,504,НАДЕВАТЬ ШТАНЫ,PUT ON (TROUSERS),6,,v,158,Надевать одежду на ноги.,To put on clothing on the legs.,Я надел штаны.,I put on trousers.,144,0,0,final,
505,505,НАДЕВАТЬ ШАПКУ,PUT ON (HAT),6,,v,158,Надевать головной убор.,To put on a headdress.,Я надел на голову папаху.,I put on a hat.,145,0,0,final,
506,506,СНИМАТЬ ПЛАТЬЕ,REMOVE (DRESS),6,,v,2326,"Снимать одежду, закрывающую верхнюю часть тела (рубашку, платье).","To remove clothing that covers the upper part of the body (shirt, dress). ",1. Я снял рубашку. 2. Она сняла платье.,1. I removed my shirt. 2. She removed her dress.,146,0,0,final,
507,507,СНИМАТЬ ШТАНЫ,REMOVE (TROUSERS),6,,v,2326,Снимать одежду с ног.,To remove clothes from the legs.,Я снял штаны.,I removed my trousers.,147,0,0,final,
508,508,СНИМАТЬ ШАПКУ,REMOVE (HAT),6,,v,2326,Снимать головной убор,To remove a headdress.,Я снял шапку.,I removed my hat.,148,0,0,final,
509,509,ОДЕЖДА,CLOTHES,6,,n,1895,"Любые предметы, предназначенные для ношения на теле человека. (Concepticon)",All coverings designed to be worn on a person's body. (Concepticon),"1. Люди носят одежду, животные — нет. 2. У бедных плохая одежда.","1. People wear clothes, animals do not. 2. Poor people have bad clothes.",0,0,0,final,
510,510,"ТКАНЬ, СУКНО",FABRIC,6,,n,1616,"Тканая материя, используемая как материал для одежды.",A woven fabric used as material for making clothes.,Одежду делают из ткани.,Clothes are made from fabric.,0,0,0,final,
511,511,ПРЯСТЬ,SPIN,6,,v,121,"Делать одежду, вытягивая, изгибая и скручивая волокна ткани. (Concepticon)","To make (yarn) by drawing out, twisting, and winding fibers. (Concepticon)",Патимат спряла всю шерсть.,Patimat has spinned all the wool.,126,0,0,final,
512,512,ВЕРЕТЕНО,SPINDLE,6,,n,277,"Палочка, используемая для того, чтобы закручивать волокна в нить. (Concepticon)",A stick used in spinning fiber into thread. (Concepticon),Шерсть наматывают на веретено.,Wool is wound around the spindle.,310,0,0,final,
513,513,ТКАЦКИЙ СТАНОК,LOOM,6,opt,n,1787,"Традиционный станок там, где он использовался и где его имя известно.",The traditional loom where it was used and where its name is still remembered.,,,311,0,0,final,
514,514,ШИТЬ,SEW,6,,v,1457,"Самый общий глагол для действия, состоящего в многократном пропускании нити сквозь ткань или материал с использованием иголки для того, чтобы соединить две или более части. (CoBL)","Most generic verb for passing thread repeatedly through fabric or a material, using a needle, in order to join two or more parts. (CoBL)",1. Пришей рукав к рубашке. 2. Зашей мешок толстой нитью. 3. Он сшил два куска ткани (CoBL).,1. Sew the sleeve to the shirt. 2. Sew the sack with a thick thread. 3. He sewed the two pieces of cloth together. (CoBL),128,139,0,final,
515,515,КРОИТЬ,CUT OUT (CLOTH),6,,v,0,Вырезать часть ткани для изготовления одежды.,To cut out thread for the sewing of clothes.,Она скроила куски полотна и сшила из них платье.,She cut out pieces of fabric and sewed a dress out of them.,129,0,0,final,
516,516,ИГЛА,NEEDLE,6,,n,1382,"Тонкий, острый инструмент, используемый для шитья.","A thin, sharp instrument used for sewing.",Продень нитку в иголку.,Pass the thread through the needle.,302,0,0,final,
517,517,СПИЦА,KNITTING NEEDLE,6,,n,0,"Длинная, не острая иголка, используемая для вязания.","A long, but not sharp needle that is used for knitting.",Спицами вяжут шерстяную одежду.,Wool clothes are knit using the knitting needle.,303,0,0,final,
518,518,ШИЛО,AWL,6,,n,278,Острый инструмент для создания отверстий в ткани и коже. (Concepticon),Pointed tool for marking or piercing wood or leather. (Concepticon),Он проткнул кожу шилом.,He pinched the leather with an awl.,301,0,0,final,
519,519,НИТКА,THREAD,6,,n,1161,"Длинный, тонкий и гибкий кусок материала, как правило круглого сечения, используемый для шиться и пряжи. (Concepticon, изм.)","A long, thin and flexible form of material, generally with a round cross-section, used in sewing or weaving. (Concepticon, mod.)",1. Ткань делают из ниток. 2. Продень нитку в иголку.,1. Fabric is made out of threads. 2. Pass the thread through the needle.,307,0,0,final,
520,520,МОТОК НИТОК,SKEIN,6,,n,0,"Множество ниток, смотанных вместе в шар.",Many threads wound together into a ball.,Он смотал нитки в моток.,He rolled the thread into a skein.,308,0,0,final,
521,521,НАПЕРСТОК,THIMBLE,6,,n,0,"Инструмент, надеваемый на палец, чтобы не уколоться во время вязания или шитья.",An instrument that one puts on the finger to avoid being injured during sewing.,"Чтобы не уколоться, надевают напёрсток.","To avoid injury during sewing, one wears a thimble.",304,0,0,final,
522,522,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,WOOL COMB,6,,n,0,"Гребень, которым расчёсывают шерсть.",A comb used to comb wool.,Шерсть расчёсывают гребнем.,Wool is combed with a wool comb.,309,0,0,final,
523,523,"ТУЛУП, ШУБА",FUR COAT,6,,n,0,Большая шуба с длинными рукавами.,A large fur coat with long sleeves.,Зимой надевают тулуп.,In winter people wear fur coats.,267,0,0,final,
524,524,БУРКА,SHEPHERD’S COAT,6,,n,0,"Войлочный плащ, который используют пастухи и чабаны.",A felt coat used by herdsmen.,Чабан надел бурку.,The shepherd put on the shepherd’s coat.,266,0,0,final,
525,525,ПЛАТЬЕ ЖЕНСКОЕ,WOMAN'S DRESS,6,,n,474,"Женская одежда, сочетающая юбку и верхнюю часть в одном предмете. (Concepticon)",A one-piece garment for a woman that has a skirt and a body section.  (Concepticon),"1. Женщины носят платья, мужчины — рубашки. 2. С платьем штаны не носят.","1. Women wear dresses, men wear shirts. 2. Trousers are not worn with dresses.",0,0,0,final,
526,526,РУБАШКА,SHIRT,6,,n,1622,"Предмет одежды, который носят на верхней части тела. Имеет длинные рукава, покрывающие руки, и пуговицы. (Concepticon, изм.)","An article of clothing that is worn on the upper part of the body, that has long sleeves that cover the arms and buttons. (Concepticon, mod.)","1. Женщины носят платья, мужчины — рубашки. 2. Одежда мужчины — рубашка и штаны.","1. Женщины носят платья, мужчины — рубашки. 2. Одежда мужчины — рубашка и штаны. 1. Women wear dresses, men wear shirts. 2. Men’s clothing are shirt and trousers.",264,0,0,final,
527,527,РУКАВ,SLEEVE,6,,n,2953,"Часть предмета одежды, покрывающая руку. (Concepticon)",Part of a garment covering the arm. (Concepticon),У рубашки два рукава.,The shirt has two sleeves.,277,0,0,final,
528,528,ШТАНЫ,TROUSERS,6,,n,809,"Предмет одежды, который носят на нижней части тела. Закрывает обе ноги по отдельности, отдельными штанинами. (Concepticon)",An item of clothing worn on the lower part of the body and covering both legs separately. (Concepticon),"1. Заправь рубашку в брюки. 2. На теле носят рубашку, на ногах — штаны.","1. Tuck your shirt into your trousers. 2. The shirt is worn on the torso, trousers are worn on the legs.",265,0,0,final,
529,529,НОСОК,SOCK,6,,n,329,"Мягкий предмет одежды, который носят на ступне и нижней части голени, под обувью. (Concepticon, изм.)","A soft garment worn on the foot and lower leg, under shoes or other footwear. (Concepticon, mod.)",Под обувь надевают носки.,Socks are worn under the shoes.,279,0,0,final,
530,530,"ОБУВЬ, БОТИНОК",SHOE,6,,n,0,"Наиболее общее слово для обозначения обуви (т.е. предметы, защищающие ступню, в противовес одежде).",The most general term for footwear (as opposed to clothes).,"Когда выходишь на улицу, надевай обувь.","When you go outside, wear shoes.",0,0,0,final,
531,531,САПОГ,BOOT,6,,n,585,"Предмет обуви, закрывающий часть голени. (Concepticon)",A shoe that covers part of the leg. (Concepticon),По грязи нужно ходить в сапогах.,You should wear boots when you walk on dirt.,280,0,0,final,
532,532,ГОЛЕНИЩЕ,BOOT-TOP,6,opt,n,0,"Отдельный предмет, закрывающий голень (если он существует в культуре и для него есть слово).",A separate item that covers the shins (if it exists in the culture and has a special name).,"Когда большой снег, чабаны надевают голенища.","When there is a lot of snow, shepherds wear BOOT-TOPs.",281,0,0,final,
533,533,ШАПКА,HEADDRESS,6,,n,771,"Наиболее общее слово для любого головного убора. Как правило, идентично слову для папахи, поэтому считается эквивалентным соответствующему термину из Кибрика-Кодзасова.","The most general term for any headdress. Usually identical to the word for the papakh (fur hat), therefore considered equivalent to the corresponding term in Kibrik & Kodzasov.",Шапка греет голову.,The hat warms the head.,268,0,0,final,
534,534,РЕМЕНЬ,BELT,6,,n,772,"Полоска кожи или иного материала, носимая на поясе и поддерживающая брюки. Отделять от «ремешка», используемого в различных хозяйственных функциях.","A strap of leather or other material, worn on the waist and supporting the trousers. Avoid entering a special word for a strap used in various other household functions (such as tying shoes), if different.",В брюки вдевают ремень.,The belt is put into the trousers.,274,0,0,final,
535,535,РЕМЕШОК,STRAP,6,opt,n,2973,"Маленькая полоска кожи или ткани, используемая в различных хозяйственных функциях, если для неё есть отдельное слово, отличное от 534 РЕМЕНЬ.","A small strap of leather or fabric used in various household function, if it is referred to by a term different from 534 BELT.",,,273,0,0,final,
536,536,РУКАВИЦА,MITTEN,6,,n,867,"Предмет одежды, надеваемый на кисти рук, покрывающий все пальцы вместе (не по отдельности) и доходящий как минимум до запястья.","A garment that is worn on the hand and covers all fingers together (not each finger individually), reaching at least up to the wrist.",Рукавицы греют руки.,Mittens make hands warm.,278,0,0,final,
537,537,ПЛАТОК ЖЕНСКИЙ,HEADSCARF,6,,n,3066,"Кусок ткани, закрывающий волосы женщины. Обычно имеется несколько терминов для разных видов платков. Поскольку набор этих терминов и их дистрибуция культурно обусловлены, необходимо выбирать наименее маркированный термин для платка как женского головного убора в противовес шапке у мужчин.","A piece of fabric that covers the hair of women. Usually several terms for different kinds of headscarves are used. Since the set of these terms and their distribution are culture-dependent, enter the least marked word for the headscarf as a women’s headdress as opposed to men’s hat.","1. Когда холодно, женщины надевают платок. 2. Мужчины носят шапки, женщины носят платки.","1. When it is cold, women wear a headscarf. 2. Men wear hats, women wear headscarves.",269,0,0,final,
538,538,ЧУХТА,CHUKHTA,6,opt,n,0,"Нижний женский платок, надеваемый на голову ниже основного платка большего размера.","An internal women’s headscarf that is worn beneath a larger, external headscarf.",,,270,0,0,final,
539,539,КАРМАН,POCKET,6,,n,1851,"Ёмкость, нашитая на предмет одежды и служащая для хранения предметов; как правило, достаточно объёмная для того, чтобы поместить в неё хотя бы одну руку. (Concepticon) ","A kind of pouch, which is accessible by an opening in an article of clothing and serves for storage; usually large enough in order to accommodate at least one hand.  (Concepticon)",1. В штанах бывают карманы. 2. Вынь руки из карманов.,1. Pockets are found in trousers. 2. Take your hands out of your pockets.,0,0,0,final,
540,540,ПУГОВИЦА,BUTTON,6,,n,757,"Застёжка, состоящая из небольшого выступа или диска, которая вставляется в вырез в соседнем материале. (Concepticon)",A fastener consisting of a knob or disc that is passed through a slit in the adjacent material. (Concepticon),Застегни пуговицы на рубашке.,Fasten the buttons on your shirt.,275,0,0,final,
541,541,ЗАСТЕЖКА,FASTENER,6,,n,0,"Конструкция, состоящая из отверстия и продеваемой в него верёвки или иной полоски, фиксирующей одежду.","Конструкция, состоящая из отверстия и продеваемой в него верёвки или иной полоски, фиксирующей одежду.A construction that consists of an opening and a strap that is inserted into it to fasten clothing.",У женщин на тулупах бывают застёжки.,Women have fasteners on their coats.,276,0,0,final,
542,542,КОЛЬЦО,RING,6,,n,1374,"Круглый предмет из (ценного) металла, носимый вокруг пальца. (Concepticon) ",A round piece of (precious) metal worn around the finger. (Concepticon),1. Невесте дают кольцо. 2. Кольцо носят на пальце.,1. A ring is given to the bride. 2. Rings are worn on fingers.,271,0,0,final,
543,543,БРАСЛЕТ,BRACELET,6,,n,1754,"Ювелирный предмет, который носят вокруг запястья.",Piece of jewellery worn around the wrist. (Concepticon),Женщины на руках носят браслеты.,Women wear bracelets on their wrists.,272,0,0,final,
544,544,ОЖЕРЕЛЬЕ,NECKLACE,6,,n,1961,"Ювелирный предмет, который носят вокруг шеи.",An article of jewelry that is worn around the neck. (Concepticon),Женщины на шее носят ожерелье.,Women wear necklaces around their necks.,0,0,0,final,
545,545,БУСИНА,BEAD,6,,n,1860,"Круглый блестящий предмет (любого происхождения), используемый как компонент ожерелья (бус).",A round shiny object (of any origin) that serves as a component of a necklace.,Ожерелье делают из бусинок.,A necklace is made out of beads.,0,0,0,final,
546,546,СЕРЕЖКА,EARRING,6,,n,770,"Ювелирное украшение, которое носят в ухе. (Concepticon)",A piece of jewelry worn on the ear. (Concepticon),У женщин в ушах бывают серьги.,Women wear earrings in their ears.,0,0,0,final,
547,547,ТАТУИРОВКА,TATTOO,6,,n,68,"Рисунок, создаваемый на теле человека при помощи ввода чернил под кожу. В Дагестане татуировки традиционно наносились женщинам на руки.","An image created on the body by injecting ink under the skin. In Daghestan, tattoos are traditionally found on the hands of women.",Раньше женщинам на руках делали татуировки.,Women used to have tattoos on their hands.,0,0,0,final,
548,548,"РАСЧЕСКА, ГРЕБЕНЬ",COMB (N.),6,,n,1475,Предмет для расчёсывания волос.,An instrument for combing hair.,Я причесал голову расчёской,I combed my hair with a comb.,0,0,0,final,
549,549,ПРИЧЕСЫВАТЬ,COMB (V. TR.),6,,v,2070,Ухаживать за волосами при помощи расчёски или похожего объекта.,To groom the hair with a comb or a similar object.,"1. Я причесал голову расчёской. 2. Был сильный ветер, причеши волосы.","1. I combed my hair with a comb. 2. It was windy, comb your hair.",140,0,0,final,
550,550,КОСА ЖЕНСКАЯ,BRAID,6,,n,1043,"Женская причёска, состоящая из заплетённых вместе нескольких волос. Для одной большой косы и двух маленьких косичек могут быть разные термины. В этом случае следует выбирать слово, обозначающее именно одну большую косу у женщин.",Women’s haircut that consists of several hairs braided together. Different terms may exist for one large braid and one of two smaller braids. In this case the term that refers to one large braid must be entered.,Женщины плетут из волос две косички или одну косу.,Women braid their hair into two small braids or one large braid.,75,0,0,final,
551,551,ЧЁЛКА,FRINGE,6,opt,n,0,"Пучок волос, свисающий на лоб.",A group of hair that hangs over the forehead.,,,0,0,0,final,
552,552,КОСЫ (ПАРА),BRAIDS (PAIR OF),6,opt,n,0,"См. 550 КОСА ЖЕНСКАЯ. В этом месте вводится слово для пары косичек, если оно существует.","See 550 BRAID. The word for a pair of smaller braids is entered here, if it exists.",,,0,0,0,final,
553,553,БРИТВА,RAZOR,6,,n,151,Острый инструмент для удаления волос с лица или тела. (Concepticon),A bladed tool used for the removal of body hair through the act of shaving. (Concepticon),Мужчины бреют бороду бритвой.,Men shave their beard with a razor.,0,0,0,final,
554,554,БРИТЬ,SHAVE,6,,v,231,"Срезать волосы вблизи кожи бритвой. (Concepticon) Вводить слово именно для полного удаления волос (на лице), не «подстригать».",To cut the hair close to the skin with a razor. (Concepticon) Enter the word specifically for completely shaving off (facial) hair.,1. Мужчины бреют бороду бритвой. 2. Ваххабиты сбривают усы. 3. Раньше мужчинам брили волосы на голове.,1. Men shave their beards with a razor. 2. Wahhabis shave their moustache.  3. Men used to shave off all hair on their heads.,142,0,0,final,
555,555,СТРИЧЬ,CUT (HAIR),6,opt,v,,Укорачивать длину волос ножницами.,To shorten hair using scissors.,,,141,0,0,final,
556,556,МЫЛО,SOAP,6,,n,788,"Твёрдый предмет, пенящийся при контакте с водой и используемый для мытья рук.",A solid object that emits foam under contact with water and is used for hand washing.,Руки надо мыть с мылом.,You must wash your hands with soap.,0,0,0,final,
557,557,ЗЕРКАЛО,MIRROR,6,,n,1171,"Гладкая поверхность, отражащая предметы, находящиеся напротив.",A smooth surface that reflects the object located in front of it.,"Когда бреются, смотрят в зеркало.","When shaving, men look into the mirror.",356,0,0,final,
558,558,ДОМ,HOUSE,7,,n,1252,"Отдельно стоящее здание, используемое для жилья человека. Иногда КОМНАТА и ДОМ выражаются одним термином, при этом либо существует отдельное слово в значении собственно ДОМ, либо для обозначения ДОМа используется мн.ч. слова КОМНАТА/ДОМ. В этом случае надо указывать именно термин для собственно ДОМа, т.к. в словаре есть отдельный вход для термина КОМНАТА. ","A self-standing building used as human habitat. Sometimes ROOM and HOUSE are expressed by the same term, while there is either a separate term for HOUSE proper, or HOUSE proper is expressed by the plural of HOUSE/ROOM. In this case this entry should include the term for HOUSE specifically, as there is a separate entry for ROOM.",1. Этот дом был построен моим дедом. 2. В нашем доме три комнаты. ,1. This house was built by my grandfather. 2. This house has three rooms.,371,214,0,final,
559,559,РАЗВАЛИНА,RUINS,7,,n,0,Разрушенное здание.,A destroyed building.,Селение превратилось в развалины.,The village turned into ruins.,402,0,0,final,
560,560,ДВОР,YARD,7,,n,736,"Область, примыкающая к дому и огороженная забором.",An area adjacent to a house and encircled with a fence.,"1. Хорошая женщина ежедневно убирает двор дома. 2. Чтобы войти во двор, нужно открыть ворота.","1. A good wife cleans up the yard every day. 2. To enter they yard, open the gates.",0,0,0,final,
561,561,ГОДЕКАН,MEETING AREA,7,,n,0,"Центральная площадь селения, на котором собираются мужчины для обсуждения общественно значимых вопросов.",An open area in the center of a village where men gather and discuss various questions.,В каждом селении старики собираются на годекане.,In every village old men gather in the MEETING AREA.,0,0,0,final,
562,562,КОМНАТА,ROOM,7,,n,1450,"Отдельная часть здания, отделённая от других стенами, полом и потолком. (Concepticon)","A separate part of a building, enclosed by walls, a floor and a ceiling. (Concepticon)",В нашем доме три комнаты.,There are three rooms in our house.,0,0,0,final,
563,563,ДВЕРЬ,DOOR,7,,n,1567,"Твёрдая структура, как правило, из дерева, закрывающая собой проход внутрь дома.","A firm structure, usually made of wood, that covers the entrance into a building.",1. В каждом доме бывает дверь. 2. Он постучал в дверь.,1. There is a door in every house. 2. He knocked at the door.,386,0,0,final,
564,564,ВОРОТА,GATE,7,,n,2940,"Структура, как правило, двойная, закрывающая собой проход внутрь огороженного пространства на улице.","A structure, usually double, that covers the entryway into an enclosed space outside.",Во двор входят через ворота.,One enters the yard through the gate.,0,0,0,final,
565,565,ДВЕРНОЙ КОСЯК,DOORPOST,7,,n,80,"Структура, в которую вписана дверь; дверная коробка.",The structure which contains the door.,"Из-за того, что искривился косяк, дверь плохо закрывается.","The doorpost has become crooked, and the door doesn’t close well.",0,0,0,final,
566,566,ЗАМОК,LOCK (N.),7,,n,1596,"Предмет, используемый для запирания двери; может быть открыт только ключом.",An object used for locking the door; can only be opened with a key.,1. Вор сорвал замок. 2. Мурад повесил замок на дверь сарая.,1. The thief broke the lock off. 2. Murad put a lock on the barn door.,387,0,0,final,
567,567,ЗАСОВ,DOOR-BOLT,7,,n,1012,"Механизм, состоящий из металлической полоски, которая вставляется с отверстие, препятствуя открыванию двери.","A mechanism that consists of a metal bar that is inserted into an opening, preventing the door from being opened.","Замок открывают ключом, засов открывают рукой.","Locks are opened with a key, door-bolts are opened by hand.",0,0,0,final,
568,568,КЛЮЧ,KEY,7,,n,1472,Механизм для отпирания и запирания замка. (Concepticon),An object designed to be able to open (and usually close) a lock. (Concepticon) ,"1. У меня нет ключа от двери, я не могу войти. 2. Замок открывают ключом, засов открывают рукой.","1. I don’t have a key to this door, I cannot enter. 2. Locks are opened with a key, door-bolts are opened by hand.",388,0,0,final,
569,569,ОКНО,WINDOW,7,,n,1375,"Отверстие в стене, покрытое стеклом и служащее для притока света и воздуха.",An opening in the wall that is covered by glass and serves for illumination and ventilation.,Свет в комнату поступает из окна.,Light comes to the room through the window.,375,0,0,final,
570,570,ПОЛ (ЗЕМЛЯНОЙ),FLOOR,7,,n,1632,Нижняя поверхность помещения. В дагестанском контексте следует указывать именно традиционный земляной пол.,The bottom boundary of a room. In the Daghestanian context this refers to the traditional earthy floor.,В селении полы бывают земляными.,Floors in the village are made of earth.,373,0,0,final,
571,571,ПОТОЛОК,CEILING,7,,n,0,"Структура, закрывающая верх комнаты.",A structure that covers the top of a room.,Потолок делают из брёвен.,The ceiling is made of logs.,383,0,0,final,
572,572,СТЕНА,WALL,7,,n,933,"Внешняя структура, окружающая здание по периметру.",The outer structure which encloses a building.,1. На стене висит картина. 2. У дома четыре стены,1. There is a picture on the wall. 2. The house has four walls.,374,0,0,final,
573,573,ФУНДАМЕНТ,FOUNDATION,7,,n,0,"Основание, врытое в землю, на котором стоит дом.",A solid structure below the ground on which the house stands.,1. Дом стоит на фундаменте. 2. Фундамент делают из камня.,1. The house stands on its foundation. 2. The foundation is made of stone.,372,0,0,final,
574,574,ОЧАГ,FIREPLACE,7,,n,185,"Открытое углубление в стене у основания дымохода, в котором можно разжечь огонь. (Concepticon)",An open recess in a wall at the base of a chimney where a fire may be built. (Concepticon),В очаге всегда горит огонь.,There is always fire in our fireplace.,384,0,0,final,
575,575,ПЕЧЬ ГЛИНЯНАЯ ДЛЯ ХЛЕБА,CLAY STOVE FOR BREAD,7,,n,0,"Традиционная печь, используемая для выпекания хлеба.",A traditional stove used for baking bread.,Хлеб пекли в печи.,They used to bake bread in STOVE.,385,0,0,final,
576,576,"ДЫМОХОД, ТРУБА",CHIMNEY,7,,n,1305,"Каменная труба, выводящая дым из помещения наружу.",A masonry pipe that transports smoke outside from the room.,Дым идёт из трубы.,Smoke is coming from the chimney.,0,0,0,final,
577,577,ЛЕСТНИЦА,STAIRS,7,,n,34,"Непрерывная последовательность ступеней, соединяющая два уровня. (Concepticon)",A contiguous set of steps connecting two floors. (Concepticon),1. В дом заходят по лестнице. 2. По этой лестнице можно пройти на крышу.,1. You should enter this house via the stairs. 2. You can take this stairway up to the roof.,389,0,0,final,
578,578,ПОСТЕЛЬ,BEDCLOTHES,7,,n,0,"Место для сна: матрац, одеяло и подушка. Традиционно кровати не использовались, поэтому слово ПОСТЕЛЬ в дагестанском контексте менее маркировано.","A set of betclothes, a place to sleep: matress, blanket and pillow. Beds were not traditionally used, hence the word BEDCLOTHES is less marked than BED.",Постель состоит из матраца и одеяла.,The sleeping place is matress and blanket.,472,0,0,final,
579,579,ПОДУШКА,PILLOW,7,,n,1044,Мягкая подкладка под голову для сна. (Concepticon),Cushion placed under the head for sleeping. (Concepticon),Во время сна голову кладут на подушку.,"When sleeping, one puts a pillow under the head.",0,0,0,final,
580,580,ОДЕЯЛО,BLANKET,7,,n,806,"Большой текстильный предмет, которым накрываются во время сна для поддержания тепла.",A large cloth that covers one’s body during sleep in order to maintain warmth.,"Чтобы было тепло, во сне укрываются одеялом.","To be warm, one sleeps under a blanket.",0,0,0,final,
581,581,КОЛЫБЕЛЬ,CRADLE,7,,n,2946,"Кроватка для младенца (как правило, качающаяся).",A (usually rocking) bed for a baby.,"1. Когда рождается ребёнок, носят люльку. 2. Малыш качается в колыбели.","1. When a child is born, relatives bring a cradle into the house. 2. The baby is rocking in a cradle.",368,0,0,final,
582,582,ЮЛА,SPINNING TOP,7,,n,0,"Детская игрушка, которую раскручивают при помощи верёвки.",A child’s toy that is spinned using a piece of string.,"1. На току дети гоняют юлы. 2. Юла — игрушка, которая быстро крутится.",1. Children are playing with spinning tops at the threshing floor. 2. The spinning top is a toy that spins rapidly.,369,0,0,final,
583,583,СТУЛ,CHAIR,7,,n,1476,"Предмет мебели, состоящий из сиденья, четырёх ножек и спинки.","A piece of furniture that consists of a seat, four legs and a backrest.",У стула четыре ножки и спинка.,The chair has four legs and a backrest.,0,0,0,final,
